wallet_address,bot_type,confidence,trades,buys,sells,mints_traded,mean_buy_sol,median_hold_sec,mean_cu_price,cluster_size,burst_follow_rate,signature,reasons
ErhjhXiSbTBii5AVDysqt8ydVE8SYonoeENfCuzNQaH7,sybil,0.505,28,18,10,8,0.1794,435.0,3373371,26,0.000,Sybil cluster (26 wallets) | 0.1794 SOL avg,Funding cluster: 26 wallets
BgffQFM6UbH3SL81Rvjw4E7F1zsg2WVxp1Qb63HhXkLj,deployer,1.000,103,57,46,39,0.7059,16.7,794332,1,0.000,Deployer (39 tokens),Created 8 token(s)
6V2uT1CVNXfEYYQtLtFhcFmdBFoBeyu47gG3yuCikCqq,metric_bot,0.520,12,6,6,4,0.5471,166.6,8333333,1,0.500,Metric bot (50% burst-triggered) | 167s hold,Consistent delay: std=0.22s; Template CU: variance=0
5qzA59WgDhK1pFAJV9YGXKH5fufhXvbXHjZaUNdrb91i,metric_bot,0.549,5,2,3,2,0.1467,28.2,6666666,1,1.000,Metric bot (100% burst-triggered) | 28s hold,Template CU: variance=0
9uirQWspbXapBidNZyAxVmAN1jV1EmpBxSWDSadGkKmz,metric_bot,0.512,10,10,0,1,0.0047,0.0,200000,1,0.000,Metric bot (0% burst-triggered) | 0s hold,Template timing: CV=0.01; Template CU: variance=0
6ZZUpwMwpQDvgdNTti6FjS2ek73dLqiZEGFAtpQnvitV,sybil,0.500,6,2,4,4,0.0715,1337.3,260232,28,0.000,Sybil cluster (28 wallets) | 0.0715 SOL avg,Funding cluster: 28 wallets
BYLBf6MxAbRbcTHuYrvZiR87msyazTs4TtdU15jaWX26,sybil,0.508,465,465,0,1,0.0160,0.0,2000000,28,0.000,Sybil cluster (28 wallets) | 0.0160 SOL avg,Funding cluster: 28 wallets; Micro-buys: 0.0160 SOL median
7ERoJ2wecRbCnRKJQujBmoDpVSuZx5SJqKhwEASmDn8G,sybil,0.501,342,342,0,1,0.0199,0.0,658166,42,0.000,Sybil cluster (42 wallets) | 0.0199 SOL avg,Funding cluster: 42 wallets
E2DWdH8kv66zFFeFKNkSygN6dmAVkZRouP4SjHJFVyEE,sybil,0.500,8,4,4,4,0.0297,30.7,7340081,26,0.000,Sybil cluster (26 wallets) | 0.0297 SOL avg,Funding cluster: 26 wallets
D5wE8mME9GmCzG4AZ6Fa7knsqrbG4j5vvMAEN5yUdy81,metric_bot,0.555,9,4,5,3,0.4889,51.3,6666666,1,1.000,Metric bot (100% burst-triggered) | 51s hold,Template CU: variance=0
141qTpY6WLLCd11kkjnL7gApgegvPfhmEUfCTAVtow9J,sybil,0.500,5,3,2,1,0.1259,15.7,50000,45,0.000,Sybil cluster (45 wallets) | 0.1259 SOL avg,Funding cluster: 22 wallets
GAKjtJeQh8gkdtPzDoYZzAZS1GauEvwmHTfPT6GiAEm6,metric_bot,0.519,2790,2692,98,17,0.0002,51.7,1146,1,0.821,Metric bot (82% burst-triggered) | 52s hold,Burst-triggered: 788/960 buys after bursts
HdBm924RQiGUzCq6KxVyk2FubTgX6CNcR6C6hFG5GU8Z,sybil,0.510,37,19,18,19,0.3041,2.4,666666,57,0.000,Sybil cluster (57 wallets) | 0.3041 SOL avg,Funding cluster: 57 wallets
CatuVYhFbh2kzkHhvw6h78kdaTZdWxAptMpKk1cv7Box,sybil,0.503,196,88,108,1,0.0193,69.0,200000,45,0.000,Sybil cluster (45 wallets) | 0.0193 SOL avg,Funding cluster: 45 wallets; Micro-buys: 0.0184 SOL median
BNUFrJUMaVuFGuuW8W3WzYBeFuXjxBAHXChxr9vMMgGK,sybil,0.537,3,3,0,1,0.0003,0.0,0,13,0.000,Sybil cluster (13 wallets) | 0.0003 SOL avg,Funding cluster: 13 wallets; Micro-buys: 0.0002 SOL median
EunuuKqppFXzMFjpnfqZd6SohG2JAMP1JsvSU48G8KvV,sybil,0.500,6,1,5,2,0.1467,48.0,2000000,30,0.000,Sybil cluster (30 wallets) | 0.1467 SOL avg,Funding cluster: 30 wallets
2wQYksCF81K32K4fDu271Qi3f9L8K7TNL61jS2NyvJ9w,metric_bot,0.517,64,42,22,19,0.4611,252.2,1000000,1,0.619,Metric bot (62% burst-triggered) | 252s hold,Burst-triggered: 26/42 buys after bursts; Template CU: variance=0
Ac8eJQtcBDcbZySeJvGacWzkXDfJzr2uXteADnpAZesu,metric_bot,0.528,11,5,6,1,0.2994,11.7,50000,1,0.200,Metric bot (20% burst-triggered) | 12s hold,Consistent delay: std=0.00s; Template CU: variance=0; Fast flips: 11.7s median hold
DqP4naP1d2J3x2F7fXTfN4z3YMTM8VXaQFemGysHfFQg,deployer,1.000,108,63,45,33,0.5149,146.2,8186666,62,0.000,Deployer (33 tokens),Created 1 token(s)
GZmUDsn8W1rtopeTgwVgab9rsRGMLVVMfsXwWKD1VS9p,metric_bot,0.506,277,138,139,63,0.0100,360.5,10000,1,0.572,Metric bot (57% burst-triggered) | 361s hold,Burst-triggered: 79/138 buys after bursts; Template CU: variance=0
Fd5NU3BQUpyvuFmtTcqqZq8tqvHK8koRYFEzRw4jsG4x,metric_bot,0.524,15,7,8,4,0.4889,92.5,1239999,1,1.000,Metric bot (100% burst-triggered) | 93s hold,Burst-triggered: 7/7 buys after bursts
FiR1mfb6YntrCCD3h6Nv4Y7YuPgJWjBDFSbwmsrTd9x8,deployer,1.000,44,26,18,19,0.1314,138.9,979545,59,0.000,Deployer (19 tokens),Created 1 token(s)
85H5nFpeFeniot9o5HCpUio6mXPi3uhcecBGtXRx939J,metric_bot,0.534,70,35,35,32,0.2750,16.7,66666,5,0.686,Metric bot (69% burst-triggered) | 17s hold,Burst-triggered: 24/35 buys after bursts; Template CU: variance=0; Fast flips: 16.7s median hold
FV7XSCHkC2B1DsECz77M1hgRkKzLQhQPK5mNHEqk7Jsg,metric_bot,0.551,8,3,5,2,0.0235,47.8,1458333,1,0.667,Metric bot (67% burst-triggered) | 48s hold,Consistent delay: std=0.00s
3paAkTkipsoX3eb3TDnErHi4gSuE77sY1bLDk3ZfYXGw,sybil,0.500,16,6,10,11,0.5361,2029.1,0,18,0.000,Sybil cluster (18 wallets) | 0.5361 SOL avg,Funding cluster: 18 wallets
AXx6uep6wQbxmdYn6zkVvSNEkH5mibmUR2vNgwsSue9w,sybil,0.500,16,6,10,10,0.5508,2029.1,0,18,0.000,Sybil cluster (18 wallets) | 0.5508 SOL avg,Funding cluster: 18 wallets
9RL7L8iJvM6Pzs7UdHXNbQhRTtBvDHLuQob6K37Fh6mQ,metric_bot,0.508,62,30,32,21,0.0671,23.0,806288,1,0.700,Metric bot (70% burst-triggered) | 23s hold,Burst-triggered: 21/30 buys after bursts; Fast flips: 23.0s median hold
EUx5Hu7FCfusXn14oDVsH419M82wyhf2dZUoVPCMSnQp,metric_bot,0.512,10,10,0,1,0.0050,0.0,200000,1,0.000,Metric bot (0% burst-triggered) | 0s hold,Template timing: CV=0.01; Template CU: variance=0
5K9TfokpPyECaSMrSe8tWVQndA3TiQizwKbb3yQ2VVCi,sybil,0.500,12,7,5,1,0.1918,8.0,50000,40,0.000,Sybil cluster (40 wallets) | 0.1918 SOL avg,Funding cluster: 21 wallets
2XDX4dCaE4ScimsRjyJWyeoQLaSrBz8F8uiKmAKBGLjq,sybil,0.500,7,4,3,2,0.4889,828.4,10299432,33,0.000,Sybil cluster (33 wallets) | 0.4889 SOL avg,Funding cluster: 33 wallets
